incident nummer,Incident categorie,Beschrijving incident
1193037,3e lijns (Technische incidenten),mail formulieren via nieuwe website komt niet binnen Mirjam Heerdink
1193038,Functioneel beheer,CS Opname: Kan patiënt niet ontslaan
1193041,Functioneel beheer,CS Ziscon: Toevoegen rechten.
1193043,2e lijns (Doorgezette incidenten),Training: vraagt naar ervaring RES
1193046,2e lijns (Doorgezette incidenten),Dv met René Vlaskamp
1193048,Hardware / Werkplekbeheer,Traagheid: CSCRM-ERP  OPVS op meerdere thin clients XENAPPH13-03
1193051,2e lijns (Doorgezette incidenten),vraag rechten groepspostbus
1193053,1e lijns beheer (Helpdesk),pas activeren
1193054,Hardware / Werkplekbeheer,Ladebak aan de achterkant zit los
1193055,2e lijns (Doorgezette incidenten),Telefoonnr terughalen op vast toestel
1193056,2e lijns (Doorgezette incidenten),"Printers zijn traag, documenten vrijgeven gaat moeizaam"
1193057,2e lijns (Doorgezette incidenten),Ultimo werkbonnen versturen naar de printer van Asito. Gaat niet goed.
1193058,2e lijns (Doorgezette incidenten),groepspostbus
1193059,1e lijns beheer (Helpdesk),kaart lezer worden niet offline ondersteund
1193060,1e lijns beheer (Helpdesk),inloggen lukte niet
1193066,2e lijns (Doorgezette incidenten),"Printer is traag, documenten vrijgeven duurt lang"
1193067,2e lijns (Doorgezette incidenten),Wanneer gaat zij op nieuwe omgeving werken
1193068,Functioneel beheer,CS EPD: Contacten verwijderen.
1193069,1e lijns beheer (Helpdesk),doorverbinden met Jeffrey
1193072,2e lijns (Doorgezette incidenten),rechten aanvragen voor geluid
1193073,1e lijns beheer (Helpdesk),safeword code
1193074,3e lijns (Technische incidenten),rechten homedir
1193076,2e lijns (Doorgezette incidenten),muis ophalen
1193078,Hardware / Werkplekbeheer,Laptop toetsenbord kapot
1193079,Hardware / Werkplekbeheer,wire solutions toetsenbord doet niet goed
1193080,1e lijns beheer (Helpdesk),machtiging probleem outlook
1193083,2e lijns (Doorgezette incidenten),outlook start niet
1193084,1e lijns beheer (Helpdesk),wire solutions scherm vervangen
1193085,2e lijns (Doorgezette incidenten),Probleempje IE te oude versie om op bepaalde site te komen
1193087,2e lijns (Doorgezette incidenten),SAP PC piept bij diverse meldingen
1193090,2e lijns (Doorgezette incidenten),wire solutions: Schermen op de kamer nakijken.
1193091,Hardware / Werkplekbeheer,Laptop start niet goed door
1193094,Functioneel beheer,CS Agenda: Afspraak autoriseren als niet verschenen
1193095,Functioneel beheer,CS klant: Overlijdensdatum staat verkeerd.
1193097,Functioneel beheer,CS Agenda: Verrichting bij afspraakcode verwijderen
1193098,Hardware / Werkplekbeheer,Het bakje achter de printer zit nog steeds los.
1193100,3e lijns (Technische incidenten),Weer probleem met agenda's OUTLook
1193101,2e lijns (Doorgezette incidenten),Dv Ronald Vuurink en Jeroen Agten
1193102,1e lijns beheer (Helpdesk),contact personen outlook opnieuw toevoegen
1193104,Functioneel beheer,Cs-agenda: traagheid
1193108,1e lijns beheer (Helpdesk),beamer gaf geen beeld
1193109,Functioneel beheer,Cs-Controlekamer: vragen/problemen met codes
1193112,Telefonie / Communicatie,"Handset is kwijt, het gaat om tst. met nr. 6017"
1193113,Functioneel beheer,CS Kamers verwijderen uit CRM-ERP voor de C0.
1193116,Functioneel beheer,Ligging Controlekamer
1193119,Functioneel beheer,AP CHI algemeen
1193121,Functioneel beheer,AP CHI TUR prostaat
1193122,Functioneel beheer,AP ACS
1193124,Functioneel beheer,AP hartfalen
1193125,Hardware / Werkplekbeheer,wire solutions tv doet niet
1193127,2e lijns (Doorgezette incidenten),Exchange server is niet beschikbaar bij openen van gedeelde agenda
1193129,Hardware / Werkplekbeheer,Laptop toetsenbord doet niet goed vooral bij letter E
1193131,Functioneel beheer,Cs-document: verslag aanpassing
1193132,2e lijns (Doorgezette incidenten),Erik terugbellen svp inzake IE
1193133,2e lijns (Doorgezette incidenten),EW terugbellen svp
1193134,2e lijns (Doorgezette incidenten),Connect to mail.infra.WS.local
1193135,2e lijns (Doorgezette incidenten),"MF storing tijdens pas lezen, docs worden wel weergegeven"
1193137,2e lijns (Doorgezette incidenten),tokencode gevraagd.
1193138,2e lijns (Doorgezette incidenten),H-schijf heeft problemen
1193140,1e lijns beheer (Helpdesk),safeword code
1193141,2e lijns (Doorgezette incidenten),vraag over aanvraag ict app. tijdens open dag
1193142,Functioneel beheer,Cs-stamtabel: toevoegen instantie
1193143,2e lijns (Doorgezette incidenten),tokencode gevraagd.
1193148,2e lijns (Doorgezette incidenten),Terugbel Verzoek
1193149,Functioneel beheer,Cs-stamtabel: toevoegen extspec
1193150,2e lijns (Doorgezette incidenten),Vraag over de mappenstructuur vd J-schijf.
1193154,2e lijns (Doorgezette incidenten),CTG dagopname CS 5119
1193156,2e lijns (Doorgezette incidenten),form Kwaliteit en Veiligheid op WS Plaza
1193158,2e lijns (Doorgezette incidenten),mf nieuwe pas
1193164,2e lijns (Doorgezette incidenten),Een of meerdere vereiste velden ontbreken
1193165,2e lijns (Doorgezette incidenten),Tblox inloggen
1193166,2e lijns (Doorgezette incidenten),vastlopers in systeem
1193171,Functioneel beheer,E-verwijzen: verwijderen
1193172,2e lijns (Doorgezette incidenten),dv WG
1193175,Functioneel beheer,"Process Manager, uitdraai proces"
1193177,Functioneel beheer,Cs-stamtabel: toevoegen instantie
1193179,2e lijns (Doorgezette incidenten),Outlook Bwise meerdere applicaties
1193180,2e lijns (Doorgezette incidenten),vastlopers
1193181,2e lijns (Doorgezette incidenten),De schijf is vol
1193182,1e lijns beheer (Helpdesk),"Kan niet inloggen naar Citrix, traag en loopt vast"
1193183,2e lijns (Doorgezette incidenten),vastloper bij inloggen (zwart scherm) diverse collega's
1193184,2e lijns (Doorgezette incidenten),vastlopers
1193186,2e lijns (Doorgezette incidenten),mf reageert niet
1193187,1e lijns beheer (Helpdesk),belt ivm citrix storing
1193188,2e lijns (Doorgezette incidenten),vastlopers en traagheid
1193189,Functioneel beheer,Cs-stamtabel: toevoegen verwijzers
1193191,Functioneel beheer,Cs-stamtabel: toevoegen uitvoerders
1193192,2e lijns (Doorgezette incidenten),traagheid vastlopers
1193194,2e lijns (Doorgezette incidenten),WS Plaza: DKSe
1193196,2e lijns (Doorgezette incidenten),problemen met outlook
1193199,3e lijns (Technische incidenten),RD svp terugbellen inzake rechten update test
1193200,2e lijns (Doorgezette incidenten),Kan niet meer inloggen.
1193202,2e lijns (Doorgezette incidenten),nog last traagheid
1193204,2e lijns (Doorgezette incidenten),inlogproblemen ivm losse kabel
1193206,Functioneel beheer,CS Document: Verwijderen dubbele documenten
1193207,2e lijns (Doorgezette incidenten),wire solutions: vasiljevic 22-12-78. Muis doet het niet
1193208,2e lijns (Doorgezette incidenten),vraagt naar Raymond Kamphuis
1193210,2e lijns (Doorgezette incidenten),CRM-ERP acceptatie koppeling met glims test
1193211,2e lijns (Doorgezette incidenten),inlogprobleem
1193212,Functioneel beheer,CS Ziscon: Inzage rechten document en radiologieverslag voor apothekers assistenten.
1193213,2e lijns (Doorgezette incidenten),accu handset 3760
1193215,2e lijns (Doorgezette incidenten),Ultimo appl. beeindigen
1193216,Functioneel beheer,Auto 1 is verdwenen.
1193217,Functioneel beheer,Apparaten bladen koppelen aan inventaris
1193218,2e lijns (Doorgezette incidenten),Open Office converter
1193222,2e lijns (Doorgezette incidenten),geven melding over citrix
1193223,2e lijns (Doorgezette incidenten),Loginproblemen
1193226,2e lijns (Doorgezette incidenten),Loginproblemen
1193227,2e lijns (Doorgezette incidenten),pc geeft geen beeld meer
1193228,2e lijns (Doorgezette incidenten),token code Unite
1193233,2e lijns (Doorgezette incidenten),the group policy client service failed the logon
1193234,2e lijns (Doorgezette incidenten),Probleem met pieper
1193235,2e lijns (Doorgezette incidenten),Exchange server niet beschikbaar
1193236,3e lijns (Technische incidenten),Renate Kappert terug bellen
1193237,1e lijns beheer (Helpdesk),tokencode
1193238,2e lijns (Doorgezette incidenten),tokencode
1193239,2e lijns (Doorgezette incidenten),PC start niet door. Blijft hangen tijdens het opstarten
1193240,2e lijns (Doorgezette incidenten),wachtwoord van recoverysmt doet niet meer
1193241,Hardware / Werkplekbeheer,Laptop start niet goed op
1193242,2e lijns (Doorgezette incidenten),Foutmelding met opstarten van Outook.
1193243,2e lijns (Doorgezette incidenten),usb-stick
1193244,2e lijns (Doorgezette incidenten),a8-03 geen printers
1193245,2e lijns (Doorgezette incidenten),Foutmelding bij starten van Outlook
1193247,1e lijns beheer (Helpdesk),Foutmelding bij opstarten CRM-ERP.
1193249,2e lijns (Doorgezette incidenten),ww reset
1193251,Hardware / Werkplekbeheer,wire solutions geluid werkt niet zonder koptelefoon
1193253,Hardware / Werkplekbeheer,MF reageert niet op voorhouden pas
1193254,Hardware / Werkplekbeheer,Geen netwerk met balans 12
1193257,Functioneel beheer,E-verwijzen
1193259,Hardware / Werkplekbeheer,Probleem met ponsapparaat
1193263,2e lijns (Doorgezette incidenten),geen printers geinstalleerd A3-03
1193264,1e lijns beheer (Helpdesk),Probleem met Taken
1193268,2e lijns (Doorgezette incidenten),wachtwoord kwijt
1193270,Hardware / Werkplekbeheer,Bak achter de printer zit nog steeds los.
1193271,Hardware / Werkplekbeheer,MF blijft hangen op turn main power switch off
1193273,2e lijns (Doorgezette incidenten),kapotte tv -> techniek
1193274,2e lijns (Doorgezette incidenten),Outlook bezig met configureren
1193276,Functioneel beheer,Cs-overzicht: overzicht interne spec. zonder iegen lisz
1193297,2e lijns (Doorgezette incidenten),Iknl als ze daar WSdesktop start gebeurt er niets
1193323,Functioneel beheer,Cs-agenda: bevestgingsbericht
1193324,Hardware / Werkplekbeheer,3 werkplekken plaatsen Academy
1193346,Functioneel beheer,E-verwijzen
1193350,2e lijns (Doorgezette incidenten),PC sluit zich niet af
1193351,Functioneel beheer,CS klantenportaal: Vraag over klantenportaal.
1193352,2e lijns (Doorgezette incidenten),ww reset
1193354,Functioneel beheer,Cs-agenda: toevoegen agenda
1193355,2e lijns (Doorgezette incidenten),dv CM
1193357,1e lijns beheer (Helpdesk),Laptop loopt steeds leeg
1193358,2e lijns (Doorgezette incidenten),dv RM
1193360,1e lijns beheer (Helpdesk),"Probleem met trage en vastlopende PC, Outlook werkt niet"
1193362,2e lijns (Doorgezette incidenten),geen beschikbare printers op A8-03
1193365,2e lijns (Doorgezette incidenten),Outlook kan niet starten
1193366,1e lijns beheer (Helpdesk),Printer loopt ontzettend traag
1193369,2e lijns (Doorgezette incidenten),wire solutions gebruik telefonie
1193370,2e lijns (Doorgezette incidenten),Outlook contactpersonen verdwenen
1193421,Functioneel beheer,Vraag over voortgang RFC
1193430,Telefonie / Communicatie,komt nieuwe accu bij je halen
1193438,2e lijns (Doorgezette incidenten),Excel bestand bewerken - wachtwoord
1193439,2e lijns (Doorgezette incidenten),traagheid bij openen bestanden NAS
1193443,Hardware / Werkplekbeheer,Laptop systeem: muisbakje afgebrControlekameren
1193454,2e lijns (Doorgezette incidenten),excel alleen-lezen
1193468,1e lijns beheer (Helpdesk),safeword code
1193470,Functioneel beheer,CS Opname: klant staat 2 x op afd. bez. overz.
1193471,Functioneel beheer,CS Document: Kan document niet vinden
1193484,2e lijns (Doorgezette incidenten),vastlopers in diverse applicaties A2-02
1193487,2e lijns (Doorgezette incidenten),tc klopt niet
1193496,Functioneel beheer,Cs-agenda: agenda niet in balk
1193497,Functioneel beheer,Cs-document: adres aanpassen
1193501,2e lijns (Doorgezette incidenten),pdf-bestand openen (gescand) -> foutmelding
1193503,1e lijns beheer (Helpdesk),Handtekening outlook verdwenen
1193506,2e lijns (Doorgezette incidenten),Outlook werkt nog niet
1193508,Hardware / Werkplekbeheer,PC herstart uitzichzelf
1193511,2e lijns (Doorgezette incidenten),rechtne op applicatie
1193512,Hardware / Werkplekbeheer,MF lade 3 bel helpdesk
1193513,Functioneel beheer,Cs-agenda: ontslagbrieven aanpassen
1193514,1e lijns beheer (Helpdesk),Gebruiker kan niet inloggen
1193516,1e lijns beheer (Helpdesk),fax werkt niet van MFC
1193518,Functioneel beheer,Cs-patiënt:vraag
1193519,Hardware / Werkplekbeheer,wire solutions
1193527,Hardware / Werkplekbeheer,PC vallen op een willekeurig moment uit.
1193528,2e lijns (Doorgezette incidenten),inlogprobleem:
1193529,Functioneel beheer,Cs-stamtabel: toevoegen instantie
1193530,Functioneel beheer,CS Agenda: Mogelijkheid checklist
1193534,2e lijns (Doorgezette incidenten),inlogprobleem h19-02
1193535,2e lijns (Doorgezette incidenten),cannot connect to citrix
1193537,2e lijns (Doorgezette incidenten),inlogprobleem
1193543,Functioneel beheer,CS Agenda: Toevoegen HEB groep aan agenda Ingrid Pasman
1193549,2e lijns (Doorgezette incidenten),wire solutions blijft steken bij laden
1193550,2e lijns (Doorgezette incidenten),inlogprobleem
1193555,Functioneel beheer,Traagheid CRM-ERP
1193556,2e lijns (Doorgezette incidenten),Outlook en CRM-ERP vastlopers en traagheid bijv op a19-03
1193557,2e lijns (Doorgezette incidenten),cs vastloper
1193558,1e lijns beheer (Helpdesk),Gebruiker loopt vast
1193561,1e lijns beheer (Helpdesk),token inloggen lukte niet
1193566,Functioneel beheer,Cs-document: probleem tijdens aanmaken
1193567,1e lijns beheer (Helpdesk),pas activeren
1193570,Functioneel beheer,Cs-ziscon: nieuw account
1193572,Functioneel beheer,CS Stamtabellen: Vraag over adres huisarts
1193574,Hardware / Werkplekbeheer,wire solutions scherm resetten
1193578,2e lijns (Doorgezette incidenten),dv JTT
1193581,2e lijns (Doorgezette incidenten),handtekening weg
1193586,Hardware / Werkplekbeheer,Bedarm lam van WS Connect systeem
1193592,2e lijns (Doorgezette incidenten),dv RK
1193594,Functioneel beheer,e-verwijzen: 2x account toevoegen
1193596,2e lijns (Doorgezette incidenten),outlook mappen toevoegen
1193604,Functioneel beheer,CS Document: Klinische ontslag brief print altijd extra pagina
1193608,2e lijns (Doorgezette incidenten),wire solutions gebruik telefonie
1193609,Functioneel beheer,CS Agenda: Kan afspraak van klant niet terug vinden.
1193611,2e lijns (Doorgezette incidenten),Meldt dat zijn CS zeer traag werkt op de XenApp18-02
1193645,2e lijns (Doorgezette incidenten),Probleem in viewer.peoplepower.nl
1193649,Functioneel beheer,cs-stamtabel: wijzigen adres
1193661,3e lijns (Technische incidenten),Nieuwe KA - Foxit Reader werkt niet goed
1193678,2e lijns (Doorgezette incidenten),Kan niet in alle agenda's. Wel een aantal maar niet allemaal
1193710,Functioneel beheer,Ultimo - apparatuur fertiliteitskliniek (extern) registreren
1193712,2e lijns (Doorgezette incidenten),dv RA
1193713,Functioneel beheer,CS Opname: Geplande opname annuleren
1193721,2e lijns (Doorgezette incidenten),Nieuwe KA: Zwart scherm
1193722,2e lijns (Doorgezette incidenten),NNS rechten voor ghove
1193730,Telefonie / Communicatie,Dect telefoon
1193735,1e lijns beheer (Helpdesk),voor rene v
1193736,2e lijns (Doorgezette incidenten),laptop gebruiken met wifi?
1193737,1e lijns beheer (Helpdesk),vraag over gedeelde agenda problemen
1193738,2e lijns (Doorgezette incidenten),Faxen naar intern met 4 cijfers?
1193739,2e lijns (Doorgezette incidenten),2 computers omruilen
1193741,2e lijns (Doorgezette incidenten),Rechten op J: schijf aangevraagt door erik lamsma
1193743,2e lijns (Doorgezette incidenten),Kan niet naar bepaalde bestanden op J:\
1193745,2e lijns (Doorgezette incidenten),site DBC Onderhoud wordt niet goed weergegeven en blijft hangen.
1193747,Hardware / Werkplekbeheer,TC 49430 mist de Ricoh Follow Me printer
1193748,2e lijns (Doorgezette incidenten),luidspreker van radiosysteem stoort
1193752,2e lijns (Doorgezette incidenten),wire solutions
1193754,2e lijns (Doorgezette incidenten),digimv website
1193756,Hardware / Werkplekbeheer,WSocnnect lamme bedarm laten vervangen door Winkels
1193757,2e lijns (Doorgezette incidenten),Buddy belde: Account vergrendeld.
1193758,2e lijns (Doorgezette incidenten),dv JTT
1193760,Functioneel beheer,Cs-stamtabel: inlezen huisartsen vektis
1193761,1e lijns beheer (Helpdesk),contactpersonen kwijt
1193762,2e lijns (Doorgezette incidenten),iPad gekregen. Moet hem nog instellen maar heeft geen informatie.
1193770,Functioneel beheer,CS Document: Document herstellen
1193771,2e lijns (Doorgezette incidenten),iPad. Komt niet verder met MobileInlog
